chunk_id,document_filename,document_date,document_language,section_number,detected_script,chunk_words,compliance_flags
Универсальныи_договор_узб_25.09.2025__chunk_111,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,42,[]
Универсальныи_договор_узб_25.09.2025__chunk_112,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,65,[]
Универсальныи_договор_узб_25.09.2025__chunk_113,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,22,[]
Универсальныи_договор_узб_25.09.2025__chunk_114,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,107,[]
Универсальныи_договор_узб_25.09.2025__chunk_115,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,20,[]
Универсальныи_договор_узб_25.09.2025__chunk_116,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,25,[]
Универсальныи_договор_узб_25.09.2025__chunk_117,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,33,[]
Универсальныи_договор_узб_25.09.2025__chunk_118,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,24,[]
Универсальныи_договор_узб_25.09.2025__chunk_119,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,43,[]
Универсальныи_договор_узб_25.09.2025__chunk_120,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,16,[]
Универсальныи_договор_узб_25.09.2025__chunk_121,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,24,[]
Универсальныи_договор_узб_25.09.2025__chunk_122,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,21,[]
Универсальныи_договор_узб_25.09.2025__chunk_123,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,72,[]
Универсальныи_договор_узб_25.09.2025__chunk_124,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,39,[]
Универсальныи_договор_узб_25.09.2025__chunk_125,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,17,[]
Универсальныи_договор_узб_25.09.2025__chunk_126,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,31,[]
Универсальныи_договор_узб_25.09.2025__chunk_127,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,36,[]
Универсальныи_договор_узб_25.09.2025__chunk_128,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,26,[]
Универсальныи_договор_узб_25.09.2025__chunk_129,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,31,[]
Универсальныи_договор_узб_25.09.2025__chunk_130,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,13,[]
Универсальныи_договор_узб_25.09.2025__chunk_131,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,34,[]
Универсальныи_договор_узб_25.09.2025__chunk_132,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,20,[]
Универсальныи_договор_узб_25.09.2025__chunk_133,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,16,[]
Универсальныи_договор_узб_25.09.2025__chunk_134,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,11,[]
Универсальныи_договор_узб_25.09.2025__chunk_135,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,98,[]
Универсальныи_договор_узб_25.09.2025__chunk_136,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,29,[]
Универсальныи_договор_узб_25.09.2025__chunk_137,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,28,[]
Универсальныи_договор_узб_25.09.2025__chunk_138,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,122,[]
Универсальныи_договор_узб_25.09.2025__chunk_139,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,17,[]
Универсальныи_договор_узб_25.09.2025__chunk_140,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,28,[]
Универсальныи_договор_узб_25.09.2025__chunk_141,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,94,[]
Универсальныи_договор_узб_25.09.2025__chunk_142,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,12,[]
Универсальныи_договор_узб_25.09.2025__chunk_143,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,75,[]
Универсальныи_договор_узб_25.09.2025__chunk_144,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,37,[]
Универсальныи_договор_узб_25.09.2025__chunk_145,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,72,[]
Универсальныи_договор_узб_25.09.2025__chunk_146,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,121,[]
Универсальныи_договор_узб_25.09.2025__chunk_147,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,36,[]
Универсальныи_договор_узб_25.09.2025__chunk_148,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,22,[]
Универсальныи_договор_узб_25.09.2025__chunk_149,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,17,[]
Универсальныи_договор_узб_25.09.2025__chunk_150,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,198,[]
Универсальныи_договор_узб_25.09.2025__chunk_151,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,31,[]
Универсальныи_договор_узб_25.09.2025__chunk_152,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,19,[]
Универсальныи_договор_узб_25.09.2025__chunk_153,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,18,[]
Универсальныи_договор_узб_25.09.2025__chunk_154,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,12,[]
Универсальныи_договор_узб_25.09.2025__chunk_155,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,59,[]
